    ID,Planta / nome popular,Imagem,Nome científico / grupo,Família / grupo botânico,Citada em,Perfil botânico sugerido,Características atualizadas,Luminosidade ideal,Temperatura ideal (°C),Umidade do ar ideal (%),Umidade solo ideal (%),Irrigar abaixo (%),Alerta excesso (%),Frequência de rega aproximada,Observações para IoT,Fonte técnica URL,Fonte popular URL,Confiança do parâmetro,Qtd. fontes citantes
    24,Jiboia / Pothos,,Epipremnum aureum / Epipremnum pinnatum,Araceae,Vobi; The Spruce; PHS; UGA,Moderado/Folhagem tropical,Planta pendente/trepadeira muito resistente; aceita sombra e rega regular moderada.,(1) Baixa a média indireta,18–27,40–60,35–60,35,75,"(6) 5–10 dias, sempre validando o solo",Folhagens comuns de interior. Precisam de umidade moderada e boa drenagem.,https://fieldreport.caes.uga.edu/publications/B1318/growing-indoor-plants-with-success/ ,https://www.vobi.com.br/vobi-design/29-plantas-para-se-ter-dentro-de-casa ,Alta,4
    18,Samambaia-de-boston,,Nephrolepis exaltata,Nephrolepidaceae,Vobi; ArchDaily; UGA; UMN Extension,Úmido/Tropical,"Folhagem pendente; precisa de solo úmido, ambiente com boa umidade e luz indireta.",(2) Média indireta / meia-sombra clara,18–27,50–70+,55–75,50,85,(3) 2–5 dias conforme ambiente,Plantas que sofrem quando o substrato seca por muito tempo. Requerem alertas de baixa umidade.,https://extension.umn.edu/gardening-minnesota/tropical-ferns ,https://www.vobi.com.br/vobi-design/29-plantas-para-se-ter-dentro-de-casa ,Alta,4
    42,Peperomia Pixie Lime,,Peperomia orba,Piperaceae,The Spruce,Seco/Suculenta-cacto,"Semi-suculenta; gosta de luz e solo bem drenado, regas profundas e espaçadas.",(6) Alta / sol filtrado ou luz muito forte,18–29,30–50,15–35,20,55,(7) 14–21 dias ou quando o solo secar,"Plantas que armazenam água ou toleram seca. No IoT, o principal risco é excesso de água.",https://www.thespruce.com/most-popular-houseplants-4766580 ,https://www.thespruce.com/most-popular-houseplants-4766580 ,Média,1
    11,Bambu-da-sorte,,Dracaena sanderiana,Asparagaceae,Terra/Casa.com; Vobi; The Spruce; UGA,Úmido/Tropical,Tolera pouca luz e pode crescer na água; alta demanda de umidade no recipiente.,(2) Média indireta / meia-sombra clara,18–27,50–70+,55–75,50,85,(3) 2–5 dias conforme ambiente,Plantas que sofrem quando o substrato seca por muito tempo. Requerem alertas de baixa umidade.,https://fieldreport.caes.uga.edu/publications/B1318/growing-indoor-plants-with-success/ ,"https://www.terra.com.br/vida-e-estilo/casa-e-decoracao/as-17-plantas-de-casa-mais-populares-quantas-voce-tem,1fa96d8ec3bc8e5d07046a27a64d813ej4taiyg5.html ",Alta,4
    36,Camedórea-elegante / Parlor palm,,Chamaedorea elegans,Arecaceae,Vobi; The Spruce; PHS,Moderado/Folhagem tropical,"Palmeira pequena de interior; luz indireta e rega leve/moderada, sensível a encharcamento.",(1) Baixa a média indireta,18–27,40–60,35–60,35,75,"(6) 5–10 dias, sempre validando o solo",Folhagens comuns de interior. Precisam de umidade moderada e boa drenagem.,https://www.thespruce.com/most-popular-houseplants-4766580 ,https://www.vobi.com.br/vobi-design/29-plantas-para-se-ter-dentro-de-casa ,Média,3
    3,Clorofito / Spider plant,,Chlorophytum comosum,Asparagaceae,Terra/Casa.com; Vobi; The Spruce; PHS; UGA,Moderado/Folhagem tropical,"Planta resistente, pendente; aceita luz indireta e umidade moderada.",(1) Baixa a média indireta,18–27,40–60,35–60,35,75,"(6) 5–10 dias, sempre validando o solo",Folhagens comuns de interior. Precisam de umidade moderada e boa drenagem.,https://fieldreport.caes.uga.edu/publications/B1318/growing-indoor-plants-with-success/ ,"https://www.terra.com.br/vida-e-estilo/casa-e-decoracao/as-17-plantas-de-casa-mais-populares-quantas-voce-tem,1fa96d8ec3bc8e5d07046a27a64d813ej4taiyg5.html ",Alta,5
    9,Espada-de-são-jorge / Snake plant,,Dracaena trifasciata / Sansevieria trifasciata,Asparagaceae,Terra/Casa.com; Vobi; The Spruce; PHS; UGA,Seco/Suculenta-cacto,Muito resistente; tolera baixa luz e pouca água; ideal para perfil de baixa irrigação.,(6) Alta / sol filtrado ou luz muito forte,18–29,30–50,15–35,20,55,(7) 14–21 dias ou quando o solo secar,"Plantas que armazenam água ou toleram seca. No IoT, o principal risco é excesso de água.",https://fieldreport.caes.uga.edu/publications/B1318/growing-indoor-plants-with-success/ ,"https://www.terra.com.br/vida-e-estilo/casa-e-decoracao/as-17-plantas-de-casa-mais-populares-quantas-voce-tem,1fa96d8ec3bc8e5d07046a27a64d813ej4taiyg5.html ",Alta,5
    58,Monstera obliqua,,Monstera obliqua,Araceae,The Spruce; UGA,Úmido/Tropical,"Monstera rara e sensível; requer umidade alta, luz parcial e solo uniformemente úmido.",(2) Média indireta / meia-sombra clara,18–27,50–70+,55–75,50,85,(3) 2–5 dias conforme ambiente,Plantas que sofrem quando o substrato seca por muito tempo. Requerem alertas de baixa umidade.,https://fieldreport.caes.uga.edu/publications/B1318/growing-indoor-plants-with-success/ ,https://www.thespruce.com/most-popular-houseplants-4766580 ,Alta,2
    33,Zamioculca / ZZ plant,,Zamioculcas zamiifolia,Araceae,Vobi; ArchDaily; The Spruce; PHS,Seco/Suculenta-cacto,Muito resistente; tolera pouca luz e pouca água; deve evitar excesso de irrigação.,(6) Alta / sol filtrado ou luz muito forte,18–29,30–50,15–35,20,55,(7) 14–21 dias ou quando o solo secar,"Plantas que armazenam água ou toleram seca. No IoT, o principal risco é excesso de água.",https://www.thespruce.com/most-popular-houseplants-4766580 ,https://www.archdaily.com.br/br/878119/12-plantas-para-cultivar-em-ambientes-internos ,Média,4
    28,Antúrio,,Anthurium spp.,Araceae,Vobi; The Spruce; UGA,Alta umidade/Epífita,"Folhagem/floração ornamental; meia-sombra, clima quente e úmido, rega moderada.",(5) Alta indireta / filtrada,18–29,60–80,40–65,40,80,(1) Borrifar/imersão semanal ou substrato aerado,Epífitas ou plantas de ambiente úmido. A umidade do ar é tão importante quanto a do substrato.,https://fieldreport.caes.uga.edu/publications/B1318/growing-indoor-plants-with-success/ ,https://www.vobi.com.br/vobi-design/29-plantas-para-se-ter-dentro-de-casa ,Alta,3
